F,DT,T,LPos_X,LPos_Y,LPos_Z,LRot_X,LRot_Y,LRot_Z,LRot_W,LGrab,LPinch,RPos_X,RPos_Y,RPos_Z,RRot_X,RRot_Y,RRot_Z,RRot_W,RGrab,RPinch
134694,0.0167302,0.862124199047685,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134698,0.0166678,0.878791999071836,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134700,0.0186123,0.897404298186302,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134704,0.016668,0.914072297513485,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134706,0.0166663,0.930738598108292,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134710,0.0166683,0.947406897321343,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134714,0.0166657,0.964072598144412,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134718,0.0166678,0.980740398168564,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134720,0.0166659,0.997406298294663,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134724,0.0166677,1.01407399773598,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134726,0.0166658,1.03073979727924,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134730,0.0166681,1.04740789718926,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134732,0.016668,1.06407589651644,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134738,0.0166665,1.08074239641428,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134740,0.0166658,1.09740819595754,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,1.07887,0.4241651,-0.1329591,-0.7164424,-0.1085855,-0.6799548,-0.1121646,0,0
134744,0.0166677,1.11407589539886,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,0.4227583,0.09708923,-0.8030217,-0.9226176,0.272778,-0.2360559,-0.1365524,0,0
134746,0.0166657,1.13074159622192,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,0.4479696,0.09952903,-0.7915045,-0.9241049,0.263312,-0.2360707,-0.1448015,0.936614811420441,1
134752,0.0166677,1.14740929566324,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,0.4762858,0.1004964,-0.7835211,0.9257227,-0.2343301,0.2671225,0.1295086,0.993769824504852,1
134754,0.0166656,1.16407489590347,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,0.5002282,0.101142,-0.7746799,-0.9283991,0.2172603,-0.2803334,-0.1108431,1,1
134758,0.0166688,1.18074369616807,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,0.5288974,0.09688628,-0.7667279,0.9313195,-0.1882681,0.3021871,0.0766947,1,1
134760,0.017115,1.19785869680345,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,0.5577796,0.09702236,-0.7598047,-0.9307958,0.1747407,-0.3163127,-0.05505639,1,1
134764,0.016668,1.21452669613063,-0.8680547,0.06725645,-0.1559958,0.7470116,0.1187206,-0.6312478,0.1714796,0,0,0.5846011,0.09677345,-0.7537088,0.9277784,-0.1552238,0.3387577,0.01939224,1,1
