F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
20022,0.0166678,2.44859608635306,-2.301537,0.4164304,-1.437539,35.06711,9.033521,351.0595
20024,0.0166664,2.46526248566806,-2.304616,0.41667,-1.4369,35.80264,9.025494,350.78
20028,0.0166673,2.48192978650332,-2.310371,0.4200661,-1.435735,37.23606,9.154132,350.5108
20030,0.0166668,2.49859658628702,-2.312923,0.4230695,-1.434945,37.9287,9.350512,350.6108
20034,0.0166691,2.51526568643749,-2.317592,0.4312225,-1.432368,38.85069,9.93392,351.3745
20038,0.0166645,2.53193018585444,-2.319535,0.4362947,-1.430497,39.21174,10.34371,352.1271
20042,0.0166682,2.54859838634729,-2.323661,0.4471729,-1.426354,39.45564,11.01436,353.681
20044,0.0166651,2.56526348553598,-2.325994,0.4523625,-1.424628,39.43734,11.34069,354.6111
20048,0.016667,2.58193048462272,-2.330086,0.4640246,-1.420562,39.1902,11.83679,356.193
20050,0.0166669,2.59859738498926,-2.332583,0.4695053,-1.419177,38.91486,12.03307,356.9383
20054,0.0166706,2.61526798456907,-2.336377,0.4802585,-1.416428,38.12734,12.16517,358.0103
20058,0.0166635,2.63193148374558,-2.338092,0.4854999,-1.415269,37.50789,12.09674,358.4993
20062,0.0166672,2.64859868399799,-2.341285,0.4937846,-1.414079,36.0743,11.72106,359.0886
20064,0.0166661,2.66526478342712,-2.342724,0.4971932,-1.414005,35.25754,11.44292,359.2074
20068,0.0166673,2.68193208426237,-2.34541,0.5022024,-1.415109,33.54821,10.81941,359.2466
20070,0.0166673,2.69859938509762,-2.346714,0.5040074,-1.416357,32.72419,10.51828,359.2326
20074,0.0166672,2.71526658535004,-2.348393,0.5049803,-1.419991,30.988,9.877926,359.2626
20078,0.016668,2.73193458467722,-2.34925,0.5043642,-1.422662,30.23484,9.589513,359.3003
20082,0.0166656,2.74860018491745,-2.350713,0.5016166,-1.428664,28.82646,9.068244,359.3277
20084,0.0166666,2.76526678539813,-2.351231,0.499541,-1.432204,28.08846,8.842714,359.3101
20088,0.0166674,2.78193418495357,-2.352364,0.4946422,-1.440088,26.7929,8.50013,359.165
20090,0.0166664,2.79860058426857,-2.352994,0.4919327,-1.444637,26.16833,8.362343,359.0167
20094,0.0166684,2.81526898406446,-2.354368,0.4863704,-1.453828,25.13418,8.24869,358.7017
20096,0.0166662,2.83193518407643,-2.355576,0.4835311,-1.459568,24.57191,8.259869,358.5365
20102,0.0166668,2.84860198386014,-2.357583,0.4793487,-1.469771,23.57322,8.332175,358.3629
20104,0.0166668,2.86526878364384,-2.358631,0.4776643,-1.475154,22.98679,8.395016,358.3331
20108,0.0166668,2.88193558342755,-2.360903,0.4754872,-1.485239,21.76947,8.562777,358.308
20110,0.0166666,2.89860218390822,-2.362251,0.4748375,-1.490634,21.0108,8.673443,358.3002
20114,0.0166669,2.91526908427477,-2.364409,0.4745615,-1.49999,19.56238,8.879831,358.3618
20118,0.0166671,2.93193618394434,-2.365889,0.474723,-1.505267,18.82891,8.99269,358.4421
20122,0.0166674,2.94860358349979,-2.367948,0.4755937,-1.513762,17.74847,9.168915,358.6286
20124,0.0166666,2.96527018398046,-2.36897,0.4762844,-1.518274,17.16971,9.264896,358.7801
20128,0.0166668,2.98193698376417,-2.370938,0.4775117,-1.526588,16.34586,9.418045,359.0154
20130,0.0166668,2.99860378354788,-2.372071,0.4783543,-1.530959,15.98387,9.492928,359.0838
20134,0.016667,3.01527078263462,-2.373359,0.4800251,-1.538319,15.30365,9.608075,359.1442
20138,0.0166672,3.03193798288703,-2.373954,0.4809457,-1.54229,14.87588,9.638929,359.1825
20142,0.0166672,3.04860518313944,-2.375225,0.4825539,-1.548877,14.26615,9.577663,359.3149
20144,0.0166664,3.06527158245444,-2.37563,0.4835374,-1.552233,13.94077,9.482459,359.4308
20148,0.0166675,3.08193908259273,-2.375921,0.4851978,-1.55804,13.45971,9.244428,359.682
20150,0.0166662,3.09860528260469,-2.376124,0.4858935,-1.561024,13.26709,9.096441,359.828
20154,0.0166669,3.11527218297124,-2.376334,0.4867193,-1.566199,13.03799,8.813672,0.095705
20158,0.0166672,3.13193938322365,-2.376487,0.4869242,-1.569081,12.97728,8.655942,0.2254557
20162,0.0166678,3.1486071832478,-2.376472,0.4870915,-1.573235,12.92725,8.376369,0.4200179
20164,0.0166666,3.16527378372848,-2.376092,0.4870537,-1.575236,12.92006,8.213965,0.5057886
20168,0.0166671,3.18194088339806,-2.374898,0.4870951,-1.579546,12.87399,7.907915,0.6045745
20170,0.016666,3.19860688410699,-2.374506,0.4869408,-1.581851,12.84478,7.76851,0.6116688
20174,0.0166674,3.21527428366244,-2.373748,0.4862916,-1.585509,12.80003,7.487523,0.5633144
20176,0.0166666,3.23194088414311,-2.373123,0.4857666,-1.587211,12.78417,7.376661,0.536687
20182,0.0166673,3.24860818497837,-2.372572,0.4847914,-1.59041,12.76669,7.188929,0.4785974
20184,0.016667,3.2652751840651,-2.372041,0.4844291,-1.591736,12.75582,7.117376,0.4253861
20188,0.0166667,3.28194188326597,-2.371296,0.4835466,-1.59452,12.69689,7.02018,0.2834898
20190,0.0166665,3.29860838316381,-2.371148,0.4830815,-1.595877,12.62241,7.000415,0.2153814
