F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
134842,0.0166657,1.60686089284718,0.6207223,0.6558629,-0.3767121,31.49888,27.52878,3.994392
134844,0.0166666,1.62352749332786,0.6232027,0.6560147,-0.375756,31.15624,27.14342,3.932796
134848,0.0166667,1.64019419252872,0.6257273,0.6559559,-0.3752167,30.55061,26.82337,3.966212
134852,0.0175023,1.65769649296999,0.6281353,0.6553307,-0.3749888,29.66186,26.46008,4.015746
134854,0.016667,1.67436349205673,0.6305418,0.6536537,-0.3750639,28.46571,25.95671,3.987792
134858,0.0166668,1.69103029184043,0.6329158,0.6501015,-0.3756838,27.18315,25.36313,3.933888
134862,0.0166667,1.7076969910413,0.6342009,0.6466461,-0.376347,26.3997,24.91878,3.9431
134866,0.0166667,1.72436369024217,0.636677,0.638558,-0.3780179,25.26292,23.99793,4.028043
134868,0.0166674,1.74103108979762,0.6381982,0.6326666,-0.3793996,24.6799,23.28057,4.054244
134872,0.016667,1.75769808888435,0.6413215,0.6193888,-0.3827287,24.06945,22.07306,4.015671
134874,0.0166662,1.77436428889632,0.6429465,0.6125473,-0.3844936,23.88901,21.50703,3.995373
134880,0.0166673,1.79103158973157,0.6468257,0.5973775,-0.3885211,23.53741,20.21061,4.041852
134882,0.0166667,1.80769828893244,0.6489024,0.5898632,-0.3906879,23.32773,19.44295,4.085526
134886,0.0166696,1.82436788827181,0.6542574,0.5734186,-0.3960774,22.68918,17.79733,4.165068
134888,0.0166662,1.84103408828378,0.6570519,0.5661397,-0.3988136,22.34428,17.0179,4.182767
134892,0.0166665,1.85770058818161,0.6608339,0.5573952,-0.4024703,21.85325,16.05462,4.080709
134894,0.0166671,1.87436768785119,0.6655245,0.5478419,-0.407022,21.28698,14.90468,3.826239
134898,0.0166666,1.89103428833187,0.6702593,0.5398074,-0.4115715,20.7026,13.85132,3.640311
134902,0.0166687,1.90770298801363,0.6757251,0.531739,-0.4167747,20.08997,12.78193,3.651597
134906,0.0166647,1.92436768859625,0.6833249,0.5220821,-0.4244632,19.42423,11.55446,3.79067
134908,0.0166672,1.94103488884866,0.6876852,0.5173188,-0.4290165,19.1129,11.00945,3.83353
134912,0.0166674,1.95770228840411,0.6964507,0.5089503,-0.4387528,18.36674,9.931458,3.794678
134914,0.016666,1.97436828911304,0.7009079,0.5052895,-0.4438111,17.96818,9.368267,3.723595
134920,0.0166674,1.99103568866849,0.7104469,0.498182,-0.4554867,17.39567,8.463847,3.555286
134922,0.0166664,2.00770208798349,0.715436,0.4948235,-0.4619051,17.19369,8.004531,3.446229
134926,0.0166679,2.02436998859048,0.7271346,0.4875994,-0.4779363,17.0731,7.208087,3.226365
134928,0.0166666,2.04103658907115,0.7320482,0.4847324,-0.4851122,17.10119,6.877661,3.114357
134932,0.0166664,2.05770298838615,0.7395555,0.480727,-0.4965986,17.12221,6.529563,2.969346
134934,0.0166686,2.07437158748508,0.7479559,0.4768851,-0.5100502,17.05569,6.135326,2.813432
134938,0.0166653,2.09103688783944,0.7562596,0.4738631,-0.5240252,16.92354,5.797522,2.731263
134942,0.0166669,2.10770378820598,0.7645388,0.4720576,-0.5385449,16.66948,5.371336,2.752177
134944,0.0166671,2.12437088787556,0.7723969,0.471873,-0.55255,16.39846,4.905065,2.838854
134948,0.016668,2.14103888720274,0.7817452,0.4739906,-0.5693117,16.09434,4.228755,2.992757
134952,0.0166662,2.15770508721471,0.7897463,0.4777522,-0.5837106,15.92146,3.69332,3.08812
134954,0.0166663,2.17437138780952,0.7940206,0.480367,-0.5915234,15.84414,3.383009,3.148961
134960,0.0166676,2.19103898853064,0.8027892,0.4864905,-0.6072664,15.77139,2.826753,3.474491
134962,0.0166746,2.20771358907223,0.8069589,0.4895192,-0.6144094,15.75517,2.609227,3.714279
134966,0.0166665,2.22438008897007,0.8146654,0.4949108,-0.6268927,15.63842,2.239869,4.295192
134968,0.0166668,2.24104688875377,0.8188539,0.4975162,-0.6331913,15.52478,2.06126,4.624054
134972,0.0166674,2.25771428830922,0.8272701,0.501941,-0.6450234,15.1657,1.693959,5.22532
134976,0.0166657,2.27437998913229,0.8315416,0.503608,-0.650723,14.99757,1.525393,5.408114
134980,0.0166684,2.29104838892818,0.8396142,0.5055441,-0.6606138,14.74339,1.234933,5.566894
134982,0.0166653,2.30771368928254,0.843876,0.5061827,-0.6655155,14.67593,1.123653,5.601099
134986,0.0166677,2.32438138872385,0.8520983,0.5067684,-0.6741813,14.4915,0.8995513,5.720286
134988,0.0166672,2.34104858897626,0.8562844,0.5069065,-0.6780729,14.37957,0.8174541,5.797273
134992,0.016667,2.357715588063,0.8644814,0.507071,-0.6847909,14.10582,0.6626983,5.929716
134996,0.016683,2.37439858727157,0.8687912,0.5070972,-0.6877309,14.00301,0.6353738,5.936436
135000,0.0166684,2.39106698706746,0.8757355,0.5071813,-0.6915594,13.83803,0.6412951,5.857985
135002,0.0166669,2.40773388743401,0.8792393,0.5072467,-0.6930568,13.77265,0.6576022,5.792817
135006,0.0166669,2.42440078780055,0.8859789,0.5074409,-0.6950098,13.67231,0.6942728,5.657988
135008,0.0166665,2.44106728769839,0.8890927,0.5074959,-0.6954598,13.63636,0.7080765,5.563806
135012,0.0166678,2.45773508772254,0.895021,0.5075886,-0.6953308,13.61462,0.7578044,5.301712
135016,0.0166655,2.47440058737993,0.8977388,0.507536,-0.6947356,13.60306,0.7954961,5.156083
135018,0.0166687,2.49106928706169,0.9005772,0.5075282,-0.6936082,13.57832,0.8484386,4.958514
135022,0.0166661,2.50773538649082,0.9038555,0.5074281,-0.691488,13.53003,0.9030645,4.769993
135024,0.0166676,2.52440298721194,0.906777,0.507189,-0.6886851,13.46382,0.9515945,4.627187
135028,0.0166664,2.54106938652694,0.9094184,0.5068572,-0.6851192,13.35532,0.9814535,4.476802
135032,0.016668,2.55773738585413,0.9118121,0.5063953,-0.6809101,13.23204,1.017847,4.337094
135036,0.0166663,2.57440368644893,0.9143801,0.5058136,-0.6751275,13.05684,1.064141,4.124907
135040,0.0166701,2.59107378683984,0.9167377,0.5051854,-0.6684158,12.90638,1.090911,3.959296
135042,0.0166669,2.60774068720639,0.9180205,0.5047878,-0.664257,12.83662,1.0906,3.892709
135046,0.0166669,2.62440758757293,0.9205465,0.5038242,-0.6549475,12.73656,1.055953,3.801491
135048,0.0166672,2.64107478782535,0.9216999,0.5034038,-0.6501843,12.71252,1.023243,3.71179
135052,0.016667,2.65774178691208,0.9238931,0.5027593,-0.6403111,12.68199,0.9597842,3.42024
